CROWD ALERT LOG
========================================

Alert #1 - Frame: 18, People: 3, Time: 0.60s
Alert #2 - Frame: 36, People: 4, Time: 1.20s
Alert #3 - Frame: 54, People: 4, Time: 1.80s
Alert #4 - Frame: 72, People: 4, Time: 2.40s
Alert #5 - Frame: 90, People: 4, Time: 3.00s
Alert #6 - Frame: 108, People: 4, Time: 3.60s
Alert #7 - Frame: 126, People: 5, Time: 4.20s
Alert #8 - Frame: 144, People: 4, Time: 4.80s
Alert #9 - Frame: 180, People: 3, Time: 6.00s
Alert #10 - Frame: 261, People: 3, Time: 8.70s
Alert #11 - Frame: 279, People: 4, Time: 9.30s
Alert #12 - Frame: 297, People: 5, Time: 9.90s
Alert #13 - Frame: 315, People: 6, Time: 10.50s
Alert #14 - Frame: 333, People: 7, Time: 11.10s
Alert #15 - Frame: 351, People: 8, Time: 11.70s
Alert #16 - Frame: 369, People: 12, Time: 12.30s
Alert #17 - Frame: 387, People: 8, Time: 12.90s
Alert #18 - Frame: 405, People: 7, Time: 13.50s
Alert #19 - Frame: 423, People: 7, Time: 14.10s
Alert #20 - Frame: 441, People: 7, Time: 14.70s
Alert #21 - Frame: 459, People: 6, Time: 15.30s
Alert #22 - Frame: 477, People: 5, Time: 15.90s
Alert #23 - Frame: 495, People: 6, Time: 16.50s
Alert #24 - Frame: 513, People: 5, Time: 17.10s
Alert #25 - Frame: 531, People: 5, Time: 17.70s
Alert #26 - Frame: 549, People: 4, Time: 18.30s
Alert #27 - Frame: 567, People: 3, Time: 18.90s
Alert #28 - Frame: 585, People: 3, Time: 19.50s
Alert #29 - Frame: 603, People: 3, Time: 20.10s
Alert #30 - Frame: 621, People: 4, Time: 20.70s
Alert #31 - Frame: 639, People: 4, Time: 21.30s
Alert #32 - Frame: 657, People: 4, Time: 21.90s
Alert #33 - Frame: 675, People: 3, Time: 22.50s
Alert #34 - Frame: 693, People: 3, Time: 23.10s
